Nome Escola,Dependência,Código INEP,Localização,Internet,Matrículas,Energia Adequada,Conexão adequada,Classificação da cobertura,Situação,Prestadora PBLE (Programa de Conectividade nas Escolas),Tecnologia PBLE,Vel. (mbps),Fonte de Monitoramento,Nível de conexão,Latitude,Longitude
E M E I F PROF MARIA NAURA GOUVEA DO NASCIMENTO,Municipal,15036740,Rural,Não,79,Não,Não,2. Acesso inadequado - menos de 20 km,Sem informação de internet,-,-,0.0,-,Escola sem nenhuma conexão ou sem energia adequada,-1.4406573,-48.56728
E M E F PROF ALOYSIO DA COSTA CHAVES,Municipal,15036766,Urbana,Sim,318,Sim,Não,1. Acesso adequado - fibra,Velocidade inadequada,OI,ADSL,100.0,PDDE_VEL_CONTRATADA,Alguma internet e algum wifi para uso de gestores e professores,-1.5100065,-48.613262
E M E I F RAMAL SANTA MARIA,Municipal,15036774,Rural,Sim,113,Sim,Sim,2. Acesso inadequado - menos de 20 km,Velocidade adequada,CLARO,Rede Celular,400.0,EACE_CONECT_VEL_CONTRATADA,Alguma internet para uso de gestores,-1.5678654,-48.59854
E M E I F SAO JOSE,Municipal,15036804,Rural,Não,61,Não,Não,2. Acesso inadequado - menos de 20 km,Sem informação de internet,-,-,0.0,-,Escola sem nenhuma conexão ou sem energia adequada,-1.4576055,-48.54788
E M E I F SAO JOSE,Municipal,15036804,Rural,Não,61,Não,Não,2. Acesso inadequado - menos de 20 km,Sem informação de internet,-,-,0.0,-,Escola sem nenhuma conexão ou sem energia adequada,-1.4705096,-48.6714
E M E I F SAO RAIMUNDO NONATO,Municipal,15036812,Rural,Não,48,Não,Não,2. Acesso inadequado - menos de 20 km,Sem informação de internet,-,-,0.0,-,Escola sem nenhuma conexão ou sem energia adequada,-1.3778542,-48.574757
E M E I F RAIMUNDA BARBOSA FURTADO CARAVELAS,Municipal,15036839,Rural,Sim,112,Sim,Sim,2. Acesso inadequado - menos de 20 km,Velocidade adequada,CLARO,Rede Celular,381.18,VEL_MAX_6M,Velocidade adequada para uso de gestores. professores e ocasional uso com alunos em laboratórios de informática,-1.5655141,-48.68004
E M E I F PROF MARIA DAS GRACAS SOUZA NASCIMENTO,Municipal,15036855,Rural,Sim,46,Sim,Sim,2. Acesso inadequado - menos de 20 km,Velocidade adequada,CLARO,Rede Celular,100.0,PDDE_VEL_CONTRATADA,Velocidade adequada e algum wifi para uso de gestores. professores e ocasional uso com alunos em sala de aula,-1.6172158,-48.62973
E M E I F ARIENGA,Municipal,15036863,Rural,Sim,16,Sim,Sim,2. Acesso inadequado - menos de 20 km,Velocidade adequada,CLARO,SATÉLITE,50.0,EACE_CONECT_VEL_CONTRATADA,Escola conectada com parâmetros adequados para uso pedagógico em sala de aula,-1.6918342,-48.658733
E M E I F MADRE DE DEUS,Municipal,15036901,Rural,Não,43,Não,Não,2. Acesso inadequado - menos de 20 km,Sem informação de internet,-,-,0.0,-,Escola sem nenhuma conexão ou sem energia adequada,-1.4171125,-48.54854
E M E I NORMA GUILHON,Municipal,15036928,Rural,Sim,75,Sim,Sim,2. Acesso inadequado - menos de 20 km,Velocidade adequada,-,-,50.0,EACE_CONECT_VEL_CONTRATADA,Escola sem nenhuma conexão ou sem energia adequada,-1.4766474,-48.637894
E M E F NOSSA SENHORA APARECIDA,Municipal,15036936,Urbana,Sim,356,Sim,Não,1. Acesso adequado - fibra,Velocidade inadequada,OI,ADSL,100.97,VEL_MAX_6M,Alguma internet e algum wifi para uso de gestores e professores,-1.5089374,-48.60941
E M E F NSRA DA CONCEICAO,Municipal,15036944,Urbana,Sim,281,Sim,Sim,1. Acesso adequado - fibra,Velocidade adequada,OI,ADSL,284.17,VEL_MAX_6M,Escola conectada com parâmetros adequados para uso pedagógico em sala de aula,-1.4985591,-48.618988
E M E I F NOVA SANTAREM,Municipal,15036952,Rural,Sim,80,Sim,Sim,2. Acesso inadequado - menos de 20 km,Velocidade adequada,CLARO,Rede Celular,50.0,EACE_CONECT_VEL_CONTRATADA,Escola conectada com parâmetros adequados para uso pedagógico em sala de aula,-1.5841428,-48.682755
E M E I CRIANCA FELIZ,Municipal,15036960,Rural,Sim,30,Sim,Sim,2. Acesso inadequado - menos de 20 km,Velocidade adequada,-,-,400.0,EACE_CONECT_VEL_CONTRATADA,Escola sem nenhuma conexão ou sem energia adequada,-1.590106,-48.578445
E M E I TIA ZITA,Municipal,15036979,Rural,Sim,64,Sim,Sim,2. Acesso inadequado - menos de 20 km,Velocidade adequada,CLARO,Rede Celular,50.0,EACE_CONECT_VEL_CONTRATADA,Alguma internet para uso de gestores,-1.5813255,-48.60947
E M E I F SANTA JOANA,Municipal,15036987,Rural,Sim,40,Sim,Sim,2. Acesso inadequado - menos de 20 km,Velocidade adequada,CLARO,SATÉLITE,20.0,GESAC_VEL,Velocidade adequada para uso de gestores. professores e ocasional uso com alunos em laboratórios de informática,-1.6603945,-48.464317
E M E I BEM ME QUER,Municipal,15036995,Urbana,Sim,297,Sim,Sim,1. Acesso adequado - fibra,Velocidade adequada,-,-,200.0,PDDE_VEL_CONTRATADA,Escola conectada com parâmetros adequados para uso pedagógico em sala de aula,-1.5043845,-48.62129
E M E I CHAPEUZINHO VERMELHO,Municipal,15037002,Urbana,Sim,147,Sim,Sim,1. Acesso adequado - fibra,Velocidade adequada,-,-,300.0,PDDE_VEL_CONTRATADA,Escola conectada com parâmetros adequados para uso pedagógico em sala de aula,-1.516295,-48.724537
E M E I CRIANCAS UNIDAS,Municipal,15037010,Urbana,Sim,93,Sim,Sim,1. Acesso adequado - fibra,Velocidade adequada,-,-,105.97,VEL_MAX_6M,Escola conectada com parâmetros adequados para uso pedagógico em sala de aula,-1.5221806,-48.649902
E M E I NARIZINHO,Municipal,15037029,Urbana,Sim,331,Sim,Sim,1. Acesso adequado - fibra,Velocidade adequada,-,-,200.0,PDDE_VEL_CONTRATADA,Escola conectada com parâmetros adequados para uso pedagógico em sala de aula,-1.5202245,-48.67195
E M E I PICA PAU AMARELO,Municipal,15037037,Urbana,Sim,373,Sim,Sim,1. Acesso adequado - fibra,Velocidade adequada,-,-,100.0,PDDE_VEL_CONTRATADA,Escola conectada com parâmetros adequados para uso pedagógico em sala de aula,-1.5707575,-48.76757
E M E I RECANTO DAS CRIANCAS,Municipal,15037045,Urbana,Sim,295,Sim,Sim,1. Acesso adequado - fibra,Velocidade adequada,-,-,200.0,PDDE_VEL_CONTRATADA,Escola conectada com parâmetros adequados para uso pedagógico em sala de aula,-1.514504,-48.61813
ESCOLA ESTADUAL PRESIDENTE DUTRA,Estadual,15037070,Rural,Sim,643,Sim,Não,1. Acesso adequado - fibra,Velocidade não monitorada,-,-,200.0,14172_CONECT_VELOCIDADE,Alguma internet para uso de gestores,-1.5182822,-48.72336
E M E I F PROF DULCECLEIA FURTADO BARBOSA,Municipal,15142302,Urbana,Não,681,Sim,Não,1. Acesso adequado - fibra,Sem informação de internet,-,-,0.0,-,Alguma internet para uso de gestores,-1.5269952229697528,-48.62428314621191
E M E I F MASSARAPO,Municipal,15143074,Rural,Sim,19,Sim,Sim,2. Acesso inadequado - menos de 20 km,Velocidade adequada,CLARO,Rede Celular,20.0,GESAC_VEL,Velocidade adequada para uso de gestores. professores e ocasional uso com alunos em laboratórios de informática,-1.5636216,-48.655296
E M E I F SAO JOSE,Municipal,15143082,Rural,Sim,24,Sim,Não,2. Acesso inadequado - menos de 20 km,Velocidade não monitorada,CLARO,Rede Celular,0.0,0,Alguma internet para uso de gestores,-1.4576055,-48.54788
E M E I F SAO JOSE,Municipal,15143082,Rural,Sim,24,Sim,Não,2. Acesso inadequado - menos de 20 km,Velocidade não monitorada,CLARO,Rede Celular,0.0,0,Alguma internet para uso de gestores,-1.4705096,-48.6714
E M E I F SAO GREGORIO,Municipal,15143147,Rural,Sim,25,Sim,Sim,2. Acesso inadequado - menos de 20 km,Velocidade adequada,CLARO,Rede Celular,20.0,GESAC_VEL,Velocidade adequada e algum wifi para uso de gestores. professores e ocasional uso com alunos em sala de aula,-1.5644704,-48.55161
E M E I F FLECHEIRA,Municipal,15143155,Rural,Não,36,Não,Não,2. Acesso inadequado - menos de 20 km,Sem informação de internet,-,-,0.0,-,Escola sem nenhuma conexão ou sem energia adequada,-1.3282778,-48.557117
